,Club Names,Club Short Descriptions,Club Long Descriptions,Club Urls
0,4H Vernon Afterschool,Are you ready to make a difference in a child's life? 4-H is an after school STEM enrichment program where we help kids learn about the wonders of science and to find confidence within.,"4-H Vernon After School Enrichment Club through UConn Community Outreach takes place at three schools in Vernon, CT.  4-H is an organization that aims to give all young people access to opportunity though fulfilling the 4-H's: Head, Heart, Hands, and Helping. We aim to provide mentoring and STEM enrichment to children grades K through 5th in a club-like setting through activities involving: Science, Technology, Engineering, and Math; leadership and community service, as well as team and confidence building. 
 
Program runs Mondays and Wednesdays 3:00-5:30. Transportation time is included and the commitment is only one day a week plus a few monthly meetings or training sessions. Come help spark interest in the minds of this community's youths by giving them the tools to empower their bodies and minds. 
We ARE recruiting for the Fall 2023 semester! Please fill out this form if you are interested.
If you have any questions please contact Program Director Rhea Koyambreth at uconn.co.4hvernon@gmail.com.  ",https://uconntact.uconn.edu/organization/co4hvernon
1,A Completely Different Note,"A Completely Different Note (CDN), UCONN's oldest & finest lower-voice a cappella group, constantly pushes the boundaries of vocal music and brings its audiences an exciting show displaying the finest singing and entertainment that UCONN has to offer.",,https://uconntact.uconn.edu/organization/acompletelydifferentnote
2,A.P. Christian Youth - Avery Point Campus,We are God believing Youth who want to spread the Love and message of Jesus Christ. We encourage all to attend and ask questions. Matthew 18:20,"Bible Studies
Social Gatherings
Prayer Meetings
Apologetics
Christian Rap Battles
 ",https://uconntact.uconn.edu/organization/apchristian
3,Academic Achievement Center,"The Academic Achievement Center assists students in attaining their academic and personal goals by providing a comprehensive, personalized array of programs, resources, and services which enhance skill development, effective decision-making, and personal",,https://uconntact.uconn.edu/organization/aac
4,Accounting Society,"The Accounting Society has weekly meetings with different firms who come in to speak to our students about the business world. Open to any business student, this is a great way to start networking with leaders and learn more about different career paths.","The Accounting Society works very closely with UConn's Beta Alpha Psi organization. Beta Alpha Psi is a professional business organization known nationally. Due to the course and volunteer requirements to become a member of Beta, the Accounting Society is a place for all students to have access to many of the same developmental opportunities and benefits a member of Beta would. Different speakers come in each week and talk to our students about opportunities at their firm, leadership programs, or offer general advice on being successful in the business world. After each meeting, we typically hold a Q&A session with the leaders and save time for networking. It is a great way to get to know more about each company and get facetime with potential interviewers!
There is a $10 fee for Fall 2023 that will cover admission to the organization. Also, members are required to attend at least 5 of the events we hold each semester to remain a member for the following semester/year. ",https://uconntact.uconn.edu/organization/accountingsociety
5,Active Minds,"Active Minds is an international organization whose goal is to raise awareness about mental health issues and change the conversation about campus mental health, in order to reduce the surrounding stigma.","Active Minds is a national leader for young adult mental health advocacy and suicide prevention. It was founded by Alison Malmon at the University of Pennsylvania following the suicide of her older brother, Brian, in 2000. Alison saw that Brian's story was not unique; thousands of people just like her brother suffer in silence because they believe they are totally alone. Since its beginning, Active Minds has worked to transform the conversation around mental health across college campuses in order to fight the stigma surrounding it. The international organization is now 450+ chapters strong and is on more than 600 campuses. Here at UCONN, our chapter dedicates itself to outreach and advocacy through campus awareness campaigns and events. We seek to bring mental health into the open so no one struggles alone. ",https://uconntact.uconn.edu/organization/activeminds
6,"Actuarial Society, UConn",This organization aims to support students majoring or interested in actuarial science through professional development and networking activities.,"UAS is an Actuarial Science Society that facilitates interactions between current members and employers, furthers understanding of what it means to be an actuary, and provides social outlets during which members can network with one another.
 
UAS offers networking, educational, philanthropic, leadership, and social opportunities! Please click here to learn more: UAS website
 
UAS 2023-2024 application will be out by end of August 2023!!",https://uconntact.uconn.edu/organization/uconnactuarialsociety
7,African Student Association - Stamford Campus,African Student Association is a club where both African Students and Non-African students can come together to embrace and become more knowledgeable about the African culture as well as celebrating each others own identities and having fun whilst.,,https://uconntact.uconn.edu/organization/uconnstamfordasa
8,Air Force Reserve Officer Training Corps,The Air Force Reserve Officer Training Corps (AFROTC) prepares cadets to become officers in the Air Force and Space Force while they simultaneously earn their degrees in civilian four year college programs.,,https://uconntact.uconn.edu/organization/airforce
9,Airsoft Club,Our mission is to promote Airsoft as an activity for the students and faculty at the UConn Storrs campus and to hold regular meetings and games for members and prospective members to participate in club politics and sporting events.,"Our mission is to promote Airsoft as an activity for the students and faculty at the UConn Storrs campus and to hold regular meetings and games for members and prospective members to participate in club politics and sporting events.
Our meetings for Spring 2023 will be from 7:00pm - 8:30pm (SU 318) and our practices run every Sunday from around 10 am to 3 pm.",https://uconntact.uconn.edu/organization/airsoft
